scorer,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,Tail,Tail,Tail,Body1,Body1,Body1,Body2,Body2,Body2,Body3,Body3,Body3,Head,Head,Head
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
24,892.955,1595.308,0.3070000112056732,845.921,1600.18,0.9990000128746033,827.653,1603.329,0.5569999814033508,804.236,1627.666,0.7459999918937683,764.0,1649.763,0.9919999837875366
25,892.977,1595.308,0.20399999618530273,846.212,1601.695,0.9990000128746033,827.251,1603.464,0.6069999933242798,804.051,1627.869,0.7620000243186951,763.63,1650.361,0.9929999709129333
26,899.062,1594.901,0.9319999814033508,846.212,1601.824,1.0,827.026,1612.707,0.8059999942779541,803.989,1627.869,0.9750000238418579,763.335,1650.81,0.9959999918937683
27,899.062,1594.901,0.8759999871253967,846.212,1602.435,1.0,821.401,1612.471,0.5509999990463257,803.989,1627.867,0.8740000128746033,763.335,1651.618,0.9909999966621399
28,899.082,1594.901,0.4410000145435333,848.863,1602.435,1.0,821.225,1612.58,0.8830000162124634,803.989,1627.867,0.9330000281333923,763.335,1651.896,0.9890000224113464
29,900.564,1594.901,0.4189999997615814,849.453,1604.041,0.9990000128746033,820.66,1612.707,0.9020000100135803,803.737,1627.869,0.9869999885559082,772.712,1652.029,0.9980000257492065
30,900.856,1594.839,0.1469999998807907,851.362,1604.041,1.0,820.638,1612.707,0.9610000252723694,803.737,1627.867,0.8519999980926514,774.137,1652.029,0.9980000257492065
31,900.564,1594.62,0.30000001192092896,851.362,1604.02,1.0,820.372,1612.759,0.8999999761581421,803.87,1627.924,0.8009999990463257,774.216,1659.686,1.0
32,900.564,1594.59,0.19300000369548798,851.362,1604.02,1.0,820.372,1613.095,0.9750000238418579,803.737,1628.277,0.9100000262260437,774.216,1659.774,0.9990000128746033
33,893.145,1594.59,0.1379999965429306,850.581,1604.02,1.0,820.372,1613.127,0.9559999704360962,803.87,1628.277,0.890999972820282,774.216,1659.776,0.9990000128746033
34,893.145,1594.59,0.4580000042915344,846.921,1604.02,0.9990000128746033,821.005,1613.23,0.8320000171661377,803.87,1628.089,0.8790000081062317,765.009,1660.399,0.9919999837875366
35,893.145,1595.005,0.6759999990463257,846.921,1604.02,0.9990000128746033,821.005,1613.26,0.9190000295639038,803.478,1628.089,0.902999997138977,764.374,1660.399,0.9919999837875366
36,893.145,1595.67,0.7390000224113464,846.921,1604.656,0.9990000128746033,821.005,1613.487,0.9330000281333923,803.478,1627.79,0.984000027179718,764.374,1660.399,0.9959999918937683
37,893.216,1595.67,0.550000011920929,850.039,1607.979,1.0,821.005,1613.535,0.9710000157356262,804.04,1627.79,0.984000027179718,764.359,1660.339,0.996999979019165
38,893.216,1595.678,0.17499999701976776,850.484,1611.525,1.0,820.684,1613.718,0.8809999823570251,803.478,1627.702,0.9850000143051147,763.292,1660.137,0.9990000128746033
39,893.216,1595.716,0.03200000151991844,850.484,1611.525,0.9990000128746033,819.696,1613.718,0.9800000190734863,803.478,1627.698,0.953000009059906,763.292,1659.974,0.9919999837875366
40,900.104,1595.716,0.09799999743700027,850.508,1611.79,1.0,819.696,1617.442,0.9380000233650208,802.858,1627.698,0.9480000138282776,770.255,1658.649,0.9860000014305115
41,,,,850.757,1611.79,1.0,819.696,1618.9,0.9739999771118164,794.8,1627.976,0.9589999914169312,763.362,1659.926,1.0
42,3.771,1235.865,0.032999999821186066,851.122,1612.853,1.0,820.57,1618.9,0.9919999837875366,794.786,1628.032,0.9980000257492065,763.362,1659.75,0.9990000128746033
43,,,,851.122,1614.401,1.0,820.57,1618.9,0.9929999709129333,794.609,1635.663,0.9390000104904175,769.676,1658.649,0.9959999918937683
44,,,,851.372,1614.401,0.9959999918937683,820.57,1619.905,0.9929999709129333,794.609,1635.663,0.9909999966621399,769.676,1658.649,0.9890000224113464
45,,,,851.619,1614.401,0.9800000190734863,819.371,1620.506,0.9959999918937683,794.233,1636.092,0.984000027179718,763.513,1652.797,1.0
46,3.755,1235.947,0.023000000044703484,851.642,1614.43,0.9629999995231628,819.358,1620.506,0.9980000257492065,794.171,1635.851,0.9950000047683716,763.513,1652.685,1.0
47,,,,851.619,1618.766,0.968999981880188,818.054,1620.685,0.9950000047683716,794.171,1636.553,0.9959999918937683,763.83,1652.685,0.9980000257492065
48,3.974,1228.295,0.028999999165534973,859.004,1619.015,0.984000027179718,813.545,1620.952,0.9950000047683716,794.171,1636.553,0.9629999995231628,763.513,1652.685,0.9940000176429749
49,,,,852.507,1619.357,0.9919999837875366,813.403,1621.344,0.9919999837875366,794.171,1637.362,0.9819999933242798,763.206,1653.203,0.9990000128746033
50,,,,852.507,1619.357,0.9919999837875366,812.701,1627.967,0.9430000185966492,794.177,1642.639,0.9700000286102295,760.426,1653.203,0.9980000257492065
51,,,,850.642,1621.972,0.9990000128746033,812.687,1628.014,0.9940000176429749,794.177,1642.743,0.9980000257492065,760.426,1653.203,0.9980000257492065
52,,,,852.501,1622.709,0.9990000128746033,812.171,1628.072,0.9940000176429749,794.326,1642.825,0.9980000257492065,759.415,1652.499,0.996999979019165
53,,,,852.501,1627.848,0.9629999995231628,812.088,1628.37,0.9940000176429749,794.326,1642.825,0.996999979019165,123.153,804.53,0.9900000095367432
54,,,,852.501,1628.716,0.9950000047683716,812.088,1628.555,0.9919999837875366,794.326,1642.963,0.9919999837875366,123.153,804.53,0.9879999756813049
55,,,,892.684,1628.752,0.984000027179718,812.171,1629.041,0.9959999918937683,794.326,1643.253,0.984000027179718,123.153,804.53,0.9909999966621399
56,891.775,1579.904,0.06800000369548798,898.598,1629.067,0.9980000257492065,812.088,1629.041,0.9940000176429749,794.453,1643.571,0.9020000100135803,740.434,1660.295,0.9959999918937683
57,,,,898.598,1629.322,0.996999979019165,812.088,1629.919,0.9909999966621399,794.453,1643.657,0.9860000014305115,740.434,1660.304,0.9909999966621399
58,892.252,1595.36,0.15600000321865082,898.598,1634.62,0.9940000176429749,811.759,1634.104,0.9700000286102295,794.194,1643.664,0.9430000185966492,740.928,1666.992,0.9959999918937683
59,892.252,1595.483,0.05999999865889549,884.824,1635.323,0.9660000205039978,811.435,1634.837,0.6600000262260437,790.8,1643.727,0.7570000290870667,741.28,1668.151,0.9929999709129333
