video_name,before_led,during_led
d48_01_F,0.9096989966555183,0.39444444444444443
d48_01_T,0.5050167224080268,0.027777777777777776
d48_02_F,0.33783783783783783,0.29444444444444445
d48_02_S,0.7357859531772575,0.9944444444444445
d48_02_T,0.20066889632107024,0.3611111111111111
d48_03_F,0.0,0.016666666666666666
d48_03_S,0.725752508361204,0.2111111111111111
d48_03_T,0.02857142857142857,0.9888268156424581
d48_04_F,0.9966555183946488,0.0
d48_04_M,0.08361204013377926,0.016666666666666666
d48_04_T,0.9966666666666667,0.06666666666666667
d48_05_S,0.23076923076923078,0.016666666666666666
d48_05_T,0.7224080267558528,0.06111111111111111
d48_06_F,0.010033444816053512,0.8277777777777777
d48_06_S,0.9632107023411371,0.005555555555555556
d48_06_T,0.5418060200668896,0.7222222222222222
d48_10_T,0.7391304347826086,0.011111111111111112
d48_11_M,0.9966555183946488,0.0
d48_11_S,0.7706422018348624,0.0
d48_11_T,0.20735785953177258,0.7388888888888889
d48_12_F,0.7142857142857143,0.0
d48_12_S,0.5640243902439024,0.7333333333333333
d48_12_T,0.48494983277591974,0.0
d48_13_M,0.9230769230769231,0.0
d48_13_S,0.9969604863221885,0.2222222222222222
d48_14_M,0.28716216216216217,0.0
d48_14_T,0.3511705685618729,0.0
d48_15_T,0.8595317725752508,0.0
d48_16_F,0.15719063545150502,0.8611111111111112
d48_16_T,0.6375838926174496,0.027932960893854747
d48_17_F,0.4882943143812709,0.8111111111111111
d48_17_M,0.4983277591973244,0.005555555555555556
d48_17_T,0.919732441471572,0.005555555555555556
d48_18_M,0.8758389261744967,0.5
d48_19_F,0.04013377926421405,0.8333333333333334
d48_19_M,0.43666666666666665,0.28888888888888886
d48_19_S,0.2826747720364742,0.24444444444444444
d48_19_T,0.04013377926421405,0.2777777777777778
d48_20_M,0.5618729096989966,0.5833333333333334
d48_21_F,0.9966555183946488,0.1388888888888889
d48_21_M,0.3389261744966443,0.03910614525139665
d48_21_S,0.9207317073170732,0.022222222222222223
d48_21_T,0.36454849498327757,0.0
d48_22_T,0.7871621621621622,0.37222222222222223
d48_7_T,0.919732441471572,0.2722222222222222
d48_8_F,0.0,0.7222222222222222
d48_8_M,0.17725752508361203,0.05
d48_8_T,0.3511705685618729,0.0
d48_9_F,0.6053511705685619,0.15555555555555556
d48_9_T,0.2809364548494983,0.05
