video_name,before_led,during_led
d48_01_F,113.41723999999996,34.98428999999999
d48_01_T,236.50947000000002,199.26236
d48_02_F,65.5933,21.73993999999999
d48_02_S,128.51788000000002,284.79807
d48_02_T,147.44787999999994,61.71262999999993
d48_03_F,0.0,240.87487999999996
d48_03_S,171.41423000000003,114.07561999999996
d48_03_T,1.2357299999999896,93.31747999999999
d48_04_F,264.41767,0.0
d48_04_M,32.49561,2.8817700000000173
d48_04_T,113.88890000000004,103.11750000000006
d48_05_S,95.90026999999998,242.58128000000002
d48_05_T,165.08240000000006,0.31890999999995984
d48_06_F,0.41115000000002055,321.89379999999994
d48_06_S,265.41908,256.71285
d48_06_T,103.3195,192.08570000000003
d48_10_T,197.27264000000002,0.0292699999999968
d48_11_M,103.33298000000002,0.0
d48_11_S,91.29892000000001,0.0
d48_11_T,39.28354999999999,87.54219999999998
d48_12_F,52.109249999999975,0.0
d48_12_S,133.49770000000007,217.16994999999997
d48_12_T,62.367399999999975,0.0
d48_13_M,2.2767900000000054,0.0
d48_13_S,9.148470000000032,0.43689000000000533
d48_14_M,15.803269999999998,0.0
d48_14_T,102.13545000000005,0.0
d48_15_T,19.401899999999955,0.0
d48_16_F,98.46996999999999,56.05633
d48_16_T,196.64644000000004,145.11662999999993
d48_17_F,50.33370000000002,295.80906000000004
d48_17_M,93.53805,1.158869999999979
d48_17_T,62.530569999999955,0.6317699999999604
d48_18_M,132.69651999999996,9.433310000000006
d48_19_F,0.5953999999999837,340.76611999999994
d48_19_M,49.95659999999998,187.56319999999994
d48_19_S,176.66447000000002,4.40437
d48_19_T,0.48670000000004165,22.035740000000033
d48_20_M,119.56329999999997,119.92247000000003
d48_21_F,120.03362000000004,23.568119999999965
d48_21_M,44.582400000000064,77.77382999999998
d48_21_S,121.75018,24.13103000000001
d48_21_T,1.961149999999975,0.0
d48_22_T,346.32752999999997,314.04404000000005
d48_7_T,163.52890000000002,3.733000000000004
d48_8_F,0.0,263.59314
d48_8_M,21.427549999999997,169.06644
d48_8_T,58.34647000000007,0.0
d48_9_F,1.2957000000000107,267.81708
d48_9_T,79.38498000000004,173.26080000000002
