video_name,before_led,during_led
d48_01_F,11.171822212794615,9.598199576179775
d48_01_T,1.0471508346531988,1.409603431460674
d48_02_F,9.072487124816327,5.471693995056181
d48_02_S,2.026200314141414,4.59742426811236
d48_02_T,2.7058229887542087,7.0989593061797756
d48_03_F,8.249112771728814,12.990213576966292
d48_03_S,7.363612453602694,6.183411800224719
d48_03_T,4.203965183956834,2.2955492020338983
d48_04_F,5.135085403367004,2.6599502638089887
d48_04_M,2.310919094808081,5.965692601348314
d48_04_T,6.9668826790604035,3.52812692483146
d48_05_S,2.7321603919326596,1.9205322743595505
d48_05_T,2.5750656502794613,1.460702420550562
d48_06_F,2.886728261080134,1.5960780160224717
d48_06_S,13.976400543097643,3.1096727682022474
d48_06_T,18.295757272727272,10.40375445314607
d48_10_T,9.974991023838385,1.4660211783146067
d48_11_M,6.565285095286195,0.19168195359550566
d48_11_S,2.482731855532308,0.6337488257640449
d48_11_T,3.052133784148148,4.748171070707865
d48_12_F,9.647306805357934,6.967895945449437
d48_12_S,12.476536079141104,11.640310109775282
d48_12_T,10.060040813468014,1.0060865661348313
d48_13_M,0.12000526117171717,1.3486885411235954
d48_13_S,3.047747404996942,3.7811052158123597
d48_14_M,2.399844645578231,3.5467252228764043
d48_14_T,2.723784819124579,3.805164359033708
d48_15_T,3.531199686531987,0.6368065574719102
d48_16_F,12.268009389878788,3.458477885505618
d48_16_T,5.55851697060473,3.6773949758192095
d48_17_F,9.778866731575757,3.7601374661685387
d48_17_M,6.990522418585857,2.910710251404494
d48_17_T,4.945270352895623,14.802550264943822
d48_18_M,7.097292091891893,1.601826461460674
d48_19_F,9.984972962390572,11.615590919101123
d48_19_M,5.271098650406713,3.082240372820225
d48_19_S,5.933538704978594,7.246831372134831
d48_19_T,6.546996017912457,19.94107610119101
d48_20_M,13.381947908552188,11.595605443820226
d48_21_F,7.058770531178451,15.900146112022474
d48_21_M,11.28910202054054,20.411871875706215
d48_21_S,7.684595674355828,9.234251808146066
d48_21_T,6.022190545218855,4.568713165314607
d48_22_T,23.15072643748299,16.318845522359553
d48_7_T,6.666705196363637,1.1265841489887642
d48_8_F,9.428430725694914,9.667110548033708
d48_8_M,8.34117994868687,21.67197958146068
d48_8_T,3.3668229144713804,0.24892019498876405
d48_9_F,5.904811446074073,13.290251448089887
d48_9_T,6.3885937055892255,13.198996728202244
