video_name,before_led,during_led
d48_01_F,166.2590437992348,135.69835949547124
d48_01_T,68.02698725516396,-112.24822674901796
d48_02_F,25.54756144408527,-101.27309115630635
d48_02_S,-4.441734405639556,100.07129033798365
d48_02_T,147.59824563678225,18.96500685268191
d48_03_F,-48.27716338477741,-143.8662812595705
d48_03_S,35.812689987669685,-142.9000780462839
d48_03_T,-165.42837632765583,54.63133188904083
d48_04_F,65.1939328614988,-78.39710150241038
d48_04_M,40.05229076151395,-96.72330037445107
d48_04_T,23.311863041324266,-89.1034068919339
d48_05_S,-73.88949354661685,83.32065453057774
d48_05_T,93.60891498369698,-76.28134816983487
d48_06_F,-123.5346775360948,31.77742206934523
d48_06_S,7.958724518530732,-168.1415705393788
d48_06_T,-90.0442635542842,-83.31692667402889
d48_10_T,78.80418843822557,-59.06596065376228
d48_11_M,151.46588543517714,-159.98972572652733
d48_11_S,32.98996239871415,-19.312503782210293
d48_11_T,-87.01051795660764,68.47115061885668
d48_12_F,156.5927423876778,-93.14150793779494
d48_12_S,-139.0741884687668,-3.326495939948362
d48_12_T,-163.17728165956967,-140.98252424809704
d48_13_M,165.3501482990349,-172.23610888830825
d48_13_S,47.873042897498145,-107.8358142615213
d48_14_M,-163.19476881889736,-85.56288427338399
d48_14_T,-65.44946525478832,-77.48160215624436
d48_15_T,154.6061317095884,-115.40877656613796
d48_16_F,-115.58953672273826,20.38484863406146
d48_16_T,136.1963306422251,-45.82687568185996
d48_17_F,-81.84803547963097,92.54931084687456
d48_17_M,-162.91132559980875,-59.91391228318587
d48_17_T,-0.41778885500779933,-85.52639322191403
d48_18_M,128.36782537702896,-127.98172590500205
d48_19_F,-56.579458037932795,174.3066520969978
d48_19_M,-86.22558488734875,80.55717597999629
d48_19_S,-37.79830888578901,175.45486417458247
d48_19_T,-71.80882955671026,-118.98832430553115
d48_20_M,-80.92364394437192,-27.697064172210194
d48_21_F,159.347317045262,-110.42735799030994
d48_21_M,160.2163840503251,-80.17674797458534
d48_21_S,57.70187658199118,-80.43832274630537
d48_21_T,-152.32905545936032,-58.16794508711515
d48_22_T,141.6907584011309,153.66125586817452
d48_7_T,7.963149571552631,-20.952136943651613
d48_8_F,-64.24663305633018,95.61467208283109
d48_8_M,-61.2451517698794,-99.18606267657505
d48_8_T,-19.017322339826833,-70.75466821330488
d48_9_F,-71.68716379969943,155.3277084061131
d48_9_T,-80.04171249619522,-132.72682261646364
