video_name,before_led,during_led
d48_01_F,126.63811935978156,127.06116027515337
d48_01_T,88.80899761680467,93.06039867888244
d48_02_F,56.3390200017818,63.82559989366264
d48_02_S,70.72485285590035,101.58988246841112
d48_02_T,112.6297817975125,43.040951548279544
d48_03_F,0.0,66.9098968520559
d48_03_S,58.75348092445927,86.46759780894469
d48_03_T,167.158022174043,22.130511642777183
d48_04_F,56.092430751589546,0.0
d48_04_M,39.71836778025088,20.988917412447787
d48_04_T,63.246885573318664,69.3711108454604
d48_05_S,95.70270015945536,83.32065453057774
d48_05_T,42.58538912829169,132.28999575364406
d48_06_F,90.0,50.45855511232279
d48_06_S,98.64406850775674,111.23855340533929
d48_06_T,87.85185706316864,38.621494874974736
d48_10_T,62.24245951061991,175.64608732762667
d48_11_M,65.17973421223445,0.0
d48_11_S,42.635181883401,0.0
d48_11_T,60.59525418092445,89.29845755995552
d48_12_F,55.788049856204665,0.0
d48_12_S,73.23740642620457,60.67085326149756
d48_12_T,48.747477279967704,0.0
d48_13_M,165.05348553158186,0.0
d48_13_S,51.49801162320935,22.573124821226962
d48_14_M,165.40348507840665,0.0
d48_14_T,23.930671456490664,0.0
d48_15_T,106.1291075302956,0.0
d48_16_F,96.16694730439288,19.875031653822337
d48_16_T,79.63971921318688,63.22982024135094
d48_17_F,98.98971138540453,92.75319356138935
d48_17_M,24.756426239805418,2.922518194653086
d48_17_T,15.814508892210482,18.867408135038268
d48_18_M,130.83271280064886,126.15282925994954
d48_19_F,161.34575493217667,88.95930242358665
d48_19_M,34.59711942805512,71.36167554544926
d48_19_S,97.60368575147679,167.62110131946292
d48_19_T,98.3608701230694,46.380127869056956
d48_20_M,57.46762081764718,86.99287229358359
d48_21_F,71.83748220435719,11.846582841482427
d48_21_M,84.8714323731233,60.42499952328641
d48_21_S,47.06464335973938,25.478698389192346
d48_21_T,74.40306043473781,0.0
d48_22_T,70.64642009168247,84.17715557206368
d48_7_T,83.91403982355862,45.68194022874635
d48_8_F,0.0,89.93787508914251
d48_8_M,15.22333635164882,60.75649146525843
d48_8_T,94.20372821687964,0.0
d48_9_F,56.20536076500882,133.53397015271437
d48_9_T,58.51546475055558,80.23572632635019
