video_name,before_led,during_led
d48_01_F,9.92856170885906,7.594732866368715
d48_01_T,1.588629606624161,1.6857704891061454
d48_02_F,7.214348829905084,4.103459812122906
d48_02_S,3.2599883631040267,3.6299482725586594
d48_02_T,3.851546207315436,8.23250683782123
d48_03_F,7.291618821722973,13.121683390726256
d48_03_S,9.403810705738255,9.327104687988827
d48_03_T,4.217408830143369,2.498412586797753
d48_04_F,5.199719149261744,2.270876939469274
d48_04_M,2.559861553661074,4.442214950256983
d48_04_T,8.577796809297658,4.411713924692737
d48_05_S,3.291982692308725,2.1162889757206704
d48_05_T,3.021635891,2.2368702329385477
d48_06_F,4.162286618924832,1.9464380876480447
d48_06_S,15.45236576328859,3.3499179773743015
d48_06_T,20.002221635536912,12.620945587039108
d48_10_T,12.382245006744967,2.1746552458659223
d48_11_M,8.750013890604027,0.4221185469832402
d48_11_S,2.688699627886503,1.058266792189944
d48_11_T,3.138663197275168,4.156831505681564
d48_12_F,6.863901981172794,5.921724623547485
d48_12_S,14.000847318960243,12.810999806312852
d48_12_T,9.685984012516778,1.6262382237653632
d48_13_M,0.25353940009731546,1.6293317476536313
d48_13_S,1.728978780280488,2.340997068082123
d48_14_M,3.593667744881356,3.1492293500782123
d48_14_T,3.743368589144295,3.1385440845139665
d48_15_T,4.284141422449664,1.5235683344972066
d48_16_F,9.656710698802014,3.631167179385475
d48_16_T,5.779678741895623,3.3538643965168538
d48_17_F,6.9989169072382555,2.404135846469274
d48_17_M,9.489230989530203,3.974494042681564
d48_17_T,6.046403318892617,11.619213133184358
d48_18_M,8.7046578296633,1.93405337726257
d48_19_F,9.853440534865772,11.490658175642457
d48_19_M,4.979622891536455,3.969309854256984
d48_19_S,5.1115583059115846,6.167339009776537
d48_19_T,7.339118781308725,13.739270292089387
d48_20_M,17.22328733285235,17.36823582162011
d48_21_F,8.600212040536913,19.898243194804472
d48_21_M,13.342946365151516,19.075304011966292
d48_21_S,10.071629371804281,10.107411066536313
d48_21_T,6.229494677785235,3.0390520618268155
d48_22_T,24.21816893589831,18.849041840055868
d48_7_T,11.082328833020133,1.388630610837989
d48_8_F,11.398113322939189,10.039323078324022
d48_8_M,8.934133661375839,20.372688970391064
d48_8_T,3.1523343182751677,0.5787085916536313
d48_9_F,4.177352833916107,9.69417026877095
d48_9_T,6.320735098624161,14.297555278156425
