name,day,uroa_control,head_angle
101,1,1,224.65663050803818
144,1,1,140.5918947302777
116,1,1,129.63399519888978
103,1,1,219.8180884657235
142,1,1,159.23319822947184
159,1,1,241.18759966704806
105,1,1,236.20465253447665
126,1,1,201.17256868802585
120,1,1,231.54946185802592
158,1,1,204.1354197184245
139,1,1,140.46781240892008
113,1,1,203.9112387975057
104,1,1,260.52967058264693
122,1,1,214.86828212738038
137,1,1,211.5882073741848
108,1,1,235.14799198182692
150,1,1,280.9001468340556
128,1,1,64.88519605000813
149,1,1,181.09189750734438
133,1,1,
155,1,1,215.57422042929608
157,1,1,172.80446787630575
129,1,1,247.42176686536084
130,1,1,97.51533468699051
148,1,1,184.50613703279413
155,4,1,183.79721709373777
113,4,1,
148,4,1,247.39381946895435
137,4,1,141.6111801017044
108,4,1,23.117074267069498
150,4,1,121.06121412374206
128,4,1,162.8552439762996
149,4,1,89.31689704081109
133,4,1,203.42154772123237
122,4,1,219.00415790297768
158,4,1,103.60835780650378
139,4,1,192.23351084391277
104,4,1,207.97539456685385
120,4,1,128.95302195437253
144,4,1,253.8717511028325
101,4,1,308.20938794149293
116,4,1,244.28576058856513
146,4,1,331.9868660579293
103,4,1,201.292077255249
142,4,1,323.5602302710215
114,4,1,141.75608177185057
121,4,1,57.80771528664282
105,4,1,162.55477536519368
157,3,1,273.29688831063004
155,3,1,162.59243292040068
130,3,1,147.44493606635208
116,3,1,173.42344242384453
129,3,1,151.77620437939962
114,3,1,210.2131092071533
153,3,1,225.73141303043812
113,3,1,19.494893519083657
137,3,1,195.71995172745142
149,3,1,289.0417198181152
128,3,1,199.2181721813274
150,3,1,265.4298230312966
122,3,1,192.15162520573057
120,3,1,316.8600973645846
139,3,1,161.08099934640137
158,3,1,147.96524227071873
146,3,1,250.17721294301802
125,3,1,182.91568872879964
105,3,1,228.76504177526311
121,3,1,163.3320462016736
142,3,1,143.31455438666873
153,2,1,138.96090171643354
130,2,1,203.3291287808805
116,2,1,184.17646057437165
129,2,1,245.54423713684082
155,2,1,177.15434993108113
157,2,1,345.5346624890963
149,2,1,21.907441345850625
128,2,1,131.59789731767444
150,2,1,246.3296766688681
133,2,1,249.73365574901544
113,2,1,26.84868149838205
108,2,1,170.1946718485459
104,2,1,174.4306036850502
158,2,1,189.1843347214816
120,2,1,290.46329521338146
122,2,1,209.2169494898901
142,2,1,156.52505408857286
105,2,1,253.68670803358575
159,2,1,171.26818544962086
125,2,1,159.34459237129457
144,2,1,168.21642190661152
101,2,1,343.64325629524564
146,2,1,141.8194360248113
103,2,1,188.5155676107491
120,5,1,273.03411531982323
122,5,1,121.437950067843
118,1,0,283.7580806652705
160,1,0,133.45264778137206
127,1,0,202.6483131667315
107,1,0,183.22532743566177
140,1,0,235.54950256347655
138,1,0,44.061130489621846
102,1,0,184.20361743654524
117,1,0,92.34620366777692
145,1,0,101.74706506729126
124,1,0,205.66336256663004
119,1,0,223.7205915935969
141,1,0,196.4606088910784
143,1,0,130.37135536419717
106,1,0,180.23617252750944
111,1,0,317.76022198668915
156,1,0,185.12634944114365
135,1,0,188.77179959615071
154,1,0,44.7579148236443
131,1,0,161.99449287860764
152,1,0,309.08608978589376
109,1,0,161.74546958218102
110,1,0,189.90661053345582
136,1,0,260.0392432009053
151,1,0,277.95058057478496
109,4,0,240.6535855858727
110,4,0,22.93528230311507
136,4,0,115.8063033679584
132,4,0,273.43466634427506
151,4,0,274.97598896286274
156,4,0,255.38807088534037
117,4,0,257.22093373787504
135,4,0,218.0990535611505
131,4,0,280.35928373336793
152,4,0,193.56902345288702
119,4,0,246.3561991882324
102,4,0,256.78483478579903
145,4,0,210.08006718015972
141,4,0,225.4003865859088
106,4,0,321.3962058385213
143,4,0,286.53111284870215
112,4,0,242.1912624994914
160,4,0,266.7233179079606
127,4,0,34.203107723842066
118,4,0,250.43007663117737
107,4,0,28.9586820602417
140,4,0,184.7020831474891
138,4,0,210.38187169220487
136,3,0,218.19434718001972
110,3,0,310.5610107262929
112,3,0,247.2711015701294
134,3,0,270.8941195351737
151,3,0,275.14374752044677
132,3,0,207.47332993575506
154,3,0,160.51433362960816
135,3,0,266.1549782117208
111,3,0,227.25559137607442
152,3,0,181.002164883273
131,3,0,230.9919973914822
117,3,0,104.37414061228434
124,3,0,83.82536064783731
145,3,0,131.4409495173274
102,3,0,66.05311648050944
119,3,0,187.68511492411295
143,3,0,331.33974533081056
106,3,0,245.11098068372337
141,3,0,342.4201561609904
127,3,0,228.99504541796307
160,3,0,344.01653947194416
138,3,0,194.55590984249903
118,3,0,228.116825513045
132,2,0,182.6997670406053
151,2,0,253.32161791920663
110,2,0,92.91565893703148
109,2,0,184.23111747105915
112,2,0,218.4287629445394
131,2,0,200.11007154713505
117,2,0,267.33060899575554
152,2,0,200.1913596894763
156,2,0,
154,2,0,170.8540613114213
135,2,0,36.85414568789594
141,2,0,267.6251087669565
106,2,0,212.35556055704754
143,2,0,262.7448022304437
102,2,0,50.83524963183281
147,2,0,344.7558167512928
119,2,0,218.40281416575115
124,2,0,247.03685497636553
145,2,0,37.76092543722201
107,2,0,204.53686612447103
140,2,0,222.12231306596235
160,2,0,177.08173583984376
118,2,0,160.51730750972388
127,2,0,274.7096957852443
119,5,0,216.33725475663897
