name,day,uroa_control,y_mag,trajectory_angle
101,1,1,20.03614399999998,48.97734864209368
144,1,1,137.92955200000006,98.52946614849743
116,1,1,119.8227,56.991431538980436
103,1,1,8.25719799999996,105.71143534965458
142,1,1,203.85066199999994,110.80426874164246
159,1,1,57.57395200000002,125.20880894296202
105,1,1,72.68881199999987,56.71397577930074
126,1,1,0.0,360.0
120,1,1,32.99010133333326,95.67702694748188
158,1,1,2.6491700000000264,158.06171982034837
139,1,1,45.34172200000006,54.423365335114696
113,1,1,17.02687400000002,85.91282247760286
104,1,1,9.596071999999992,152.32376414939378
122,1,1,40.30297999999999,119.96835970675313
137,1,1,27.707108000000062,107.73697561129305
108,1,1,17.05915600000003,92.28101206511522
150,1,1,28.16869600000001,101.1564477573872
128,1,1,127.51754,89.86884464029191
149,1,1,36.292478000000074,116.30802050612242
133,1,1,0.9685249999999996,142.65681789788195
155,1,1,64.26961149999994,76.2741392709563
157,1,1,20.051231999999914,157.47440988336075
129,1,1,32.40208000000001,53.12106660552591
130,1,1,44.2516783333333,25.67125280459265
148,1,1,0.0,360.0
155,4,1,16.20611999999997,142.61132306959922
113,4,1,3.4047133333333477,96.49806597239484
148,4,1,71.84674000000012,90.5010546553342
137,4,1,5.294460000000015,118.17978196160422
108,4,1,1.0728259999999636,115.31272220365037
150,4,1,39.01075499999999,67.89960026544867
128,4,1,68.95076799999993,79.95252978354809
149,4,1,85.75853000000001,57.63203112876877
133,4,1,48.806647999999996,55.295016653717184
122,4,1,76.2650975,37.309697888216185
158,4,1,0.0,360.0
139,4,1,13.405496000000028,89.74174646459635
104,4,1,0.0,360.0
120,4,1,16.155894000000046,17.250938349965907
144,4,1,58.723254499999996,98.25812514147583
101,4,1,83.48804899999999,112.29976412972736
116,4,1,4.919997999999964,9.095849487549742
146,4,1,82.59848842000002,95.63214855182044
103,4,1,32.82021000000003,148.5080940613304
142,4,1,0.0,360.0
114,4,1,0.055093999999940024,51.87631701011199
121,4,1,42.890262000000064,77.50508888180525
105,4,1,3.892967999999996,115.6268098208068
157,3,1,58.19723899999991,33.48181384405362
155,3,1,190.04743000000002,100.79044214203279
130,3,1,97.52414133333332,84.09536534850514
116,3,1,68.287216,72.65248287481715
129,3,1,9.149727999999925,107.89815356363788
114,3,1,4.702944000000002,26.83184217142411
153,3,1,15.934694666666644,17.277097737642826
113,3,1,5.979269999999985,46.73167149052273
137,3,1,0.2791300000000092,0.7634958040121057
149,3,1,0.0,360.0
128,3,1,36.312347000000045,134.56081912746757
150,3,1,388.43300000000005,63.09454945232583
122,3,1,0.0,360.0
120,3,1,5.445547999999974,171.56487184077187
139,3,1,142.50684666666655,92.9871476352514
158,3,1,65.12622399999998,74.4215063505838
146,3,1,64.52938999999998,66.44686570196062
125,3,1,180.24196749999996,45.739431603884015
105,3,1,152.13758000000007,68.26771071410164
121,3,1,178.37036800000004,96.85876794186359
142,3,1,172.11896400000006,92.17477297076461
153,2,1,155.11890199999993,79.82665094940486
130,2,1,63.536518000000115,67.81003682166357
116,2,1,86.49557999999996,84.86385057099702
