day,uroa_control,dist,vel,acc
1,1,137.68966124000002,1.1570559768067228,34.7116774815126
1,1,221.281973596,1.8440164466333333,55.32049055166667
1,1,908.5612334,7.63496834789916,229.04904001260505
1,1,207.49865454499997,1.7887815046982756,53.66344226379311
1,1,1231.5679102,15.394598877499998,461.83794738750004
1,1,266.35738955,2.2196449129166664,66.58934419250001
1,1,434.82078014,3.6539561356302523,109.6186779605042
1,1,101.312294611,0.865917047957265,25.97751002478632
1,1,500.3302241900001,4.169418534916668,125.08254858558333
1,1,51.582938702999996,0.429857822525,12.895733954999999
1,1,485.12908620600007,4.076715010134454,122.30144363697481
1,1,107.33137958,0.8944281631666667,26.83284352833333
1,1,342.56602082,2.8547168401666667,85.641500775
1,1,136.05120462600001,1.1337600385500002,34.012799746666666
1,1,73.255483066,0.6155922946722688,18.46776768672269
1,1,198.068521046,1.6505710087166667,49.517127335000005
1,1,251.591408713,2.0965950726083333,62.89784938891667
1,1,368.2648061835,3.0688733848625,92.06619751891667
1,1,211.224247116,1.745654934842975,52.36964503966943
1,1,31.567897274369997,0.26306581061975,7.891973816299999
1,1,892.35937386,7.4363281155,223.08983143833336
1,1,93.80634343000001,1.054003858764045,31.62011340146067
1,1,957.34039474,7.977836622833333,239.33508729583335
1,1,1050.4436068270002,8.753696723558335,262.6108873941667
1,1,39.70551217900001,0.339363351957265,10.180899937948718
4,1,641.08193759,5.673291483097346,170.1987366876106
4,1,39.430045337100005,0.3285837111425,9.857510723583335
4,1,325.582527995,2.7827566495299147,83.48269537179489
4,1,110.34087168899998,0.9430843734102563,28.292529774615385
4,1,22.094645420999996,0.18412204517499997,5.523661102916666
4,1,974.5809241846998,8.259160374446608,247.77479726194068
4,1,128.78978886299996,1.0914388886694912,32.74316439661017
4,1,280.07660172,2.333971681,70.01914729166667
4,1,372.329378155,3.102744817958333,93.08233909166667
4,1,852.4967353899999,7.104139461583332,213.12417011666668
4,1,813.592945118,6.779941209316666,203.398226356
4,1,126.084594147,1.050704951225,31.521146736666665
4,1,200.261937215,1.6688494767916666,50.06548206416667
4,1,645.1047680935001,5.375873067445834,161.27618367516666
4,1,444.635053335,3.800299601153846,114.00898146119658
4,1,375.945723982,3.132881033183333,93.98642610249999
4,1,215.476980556,1.8107309290420168,54.32192523109245
4,1,136.457350147,1.1371445845583332,34.114335244500005
4,1,159.477098024,1.3289758168666665,39.86927230708333
4,1,245.89615911599998,2.0491346593,61.474036651999995
4,1,32.28935063,0.2690779219166667,8.072337265833335
4,1,119.48051574399999,1.0125467435932203,30.37640077457627
4,1,23.790352869,0.198252940575,5.947587901833334
3,1,671.34684183,5.59455701525,167.836701535
3,1,799.668461263,6.663903843858334,199.9171071875
3,1,241.92169487999996,2.0329554191596637,60.988659364705875
3,1,150.632549213,1.2552712434416666,37.658135730000005
3,1,253.042481446,2.1086873453833332,63.260616965833336
3,1,73.1321407454,0.6094345062116666,18.283034292416666
3,1,875.9783725899999,7.299819771583333,218.99458142166665
3,1,52.739221990000004,0.43949351658333335,13.184804863333333
3,1,115.12282014270001,0.9674186566613446,29.022557901680674
3,1,191.09217564300002,1.5924347970250001,47.77304100608333
3,1,159.925281979,1.3216965452809917,39.650894318925616
3,1,547.304836655,4.759172492652175,142.77516816086955
3,1,773.6388110500001,6.446990092083334,193.40969083333331
3,1,725.8218221071,6.048515184225834,181.4554495738333
3,1,1148.5848086290002,9.651973181756304,289.55917921613434
3,1,531.88209446,4.585190469482758,137.55570707155172
3,1,73.6065643045,0.6133880358708333,18.401640334499998
3,1,981.2550957189999,8.177125797658332,245.31375937075
3,1,1537.399703381,13.028811045601696,390.86431050084747
3,1,463.076670971,3.9243785675508476,117.73135162855928
3,1,1646.07786025,13.603949258264462,408.1184563140496
2,1,639.707475075,5.330895625625001,159.92685879249998
2,1,865.3507474846999,7.271855020879832,218.15563834873953
2,1,258.95777332,2.615735084040404,78.4720481111111
2,1,157.6302884355,1.3135857369625001,39.40757016728333
2,1,974.94512697,8.12454272475,243.73627040000002
2,1,46.107247481,0.3842270623416667,11.526811286666668
2,1,390.325926137,3.252716051141667,97.5814755775
2,1,615.9607072256699,5.133005893547249,153.9901683607083
2,1,476.877300823,3.9411347175454545,118.23403564413223
2,1,635.9376815324,5.34401413052437,160.32041321268906
2,1,27.742746477999997,0.23510802099999997,7.053240267457627
2,1,224.54637755299999,1.8869443491848739,56.60832858176472
2,1,53.384669156,0.45627922355555556,13.68837592136752
2,1,244.240256354,2.035335469616667,61.06006049416667
2,1,1479.95251162,12.332937596833334,369.9881067841667
2,1,1011.28636607,8.427386383916666,252.82157815083335
2,1,940.5173211,9.597115521428572,287.91345020510204
2,1,427.11232613,3.5592693844166665,106.77807617083333
2,1,106.272600598,0.8856050049833333,26.568148901833336
2,1,1579.7373357445,13.164477797870832,394.9343211524583
2,1,721.1990090500001,6.009991742083334,180.29974523666667
2,1,193.092433004,1.636376550881356,49.09129450686441
2,1,176.62089693399997,1.4718408077833331,44.1552215755
2,1,250.487182565,2.0873931880416667,62.62179337166667
5,1,949.403784717,7.911698205975,237.35093258833336
5,1,297.091094698,2.4552983032892564,73.65894395371902
1,0,201.797438838,1.68164532365,50.44935718499999
1,0,3271.922432186104,21.812816214574024,654.3844350595875
1,0,260.67317037,2.1722764197499997,65.16828935083333
1,0,96.29778339,0.8024815282500001,24.07444464566667
1,0,414.86647124,3.457220593666667,103.71661222666665
1,0,34.0860652743,0.28886495995169487,8.665948302796611
1,0,171.28123122300002,1.427343593525,42.82030587041666
1,0,181.50585418699998,1.5125487848916666,45.37646134166666
1,0,359.335018996,2.994458491633333,89.83375120000001
1,0,69.473405721,0.5789450476750001,17.368351018333332
1,0,826.4999521,6.887499600833333,206.62497955749998
1,0,77.33247475300001,0.6553599555338985,19.660797697457625
1,0,456.17970861000003,3.80149757175,114.04492128666668
1,0,73.85813675200001,0.6154844729333334,18.464533084666666
1,0,58.01985921700001,0.49589623262393173,14.876886177777779
1,0,162.381069091,1.3645467990840336,40.936401914285725
1,0,276.4022906,2.3033524216666668,69.10056992916667
1,0,402.41432533330004,3.381632985994118,101.44898259277313
1,0,400.1948238039,3.3629817126378154,100.88944486188235
1,0,90.24146183399999,0.75201218195,22.5603643925
1,0,219.62001511900004,1.8455463455378156,55.36638782521008
1,0,773.0283676707,6.4419030639225,193.25708140716662
1,0,226.545169655,1.9198743191101695,57.59622696864408
1,0,461.3823834770001,3.977434340318966,119.32302565086208
4,0,580.30893039,4.917872291440678,147.53616208389832
4,0,253.510885438,2.148397334220339,64.45191624830508
4,0,208.52016602899997,1.7233071572644625,51.69921218297521
4,0,50.70464675,0.4971043799019608,14.913130571862744
4,0,635.1602134749999,5.337480785504201,160.12441717563024
4,0,239.007557764,1.9917296480333335,59.751885943333335
4,0,428.46838366,3.570569863833333,107.11709074166667
4,0,177.1872192104,1.4765601600866667,44.296802443916675
4,0,301.39482224000005,2.511623518666667,75.34870167583334
4,0,240.59437353099997,2.021801458243697,60.654040277731106
4,0,755.0835898009999,6.8643962709181805,205.93187366753637
4,0,222.75592645403998,1.856299387117,55.688979008500006
4,0,962.7123565459999,8.090019802907563,242.70058099327727
4,0,147.19185715500004,1.236906362647059,37.10718906109244
4,0,58.7333502468,0.48944458539,14.683336729999999
4,0,729.094743915,6.0255763959917354,180.76728166694215
4,0,141.00822046899998,1.175068503908333,35.25205334333334
4,0,377.299458008,2.5153297200533333,75.459889308
4,0,467.33225236400006,3.8944354363666673,116.83305745666667
4,0,244.301500229,2.0358458352416666,61.07537197500001
4,0,46.902624248,0.442477587245283,13.27432684773585
4,0,133.11375671,1.2677500639047619,38.03249974761905
4,0,70.0167366,0.583472805,17.50418322166667
3,0,577.3336037040001,4.811113364200001,144.33339351083336
3,0,749.5101507229999,6.245917922691666,187.37752841100001
3,0,66.004106227,0.5500342185583332,16.501025614666663
3,0,572.909394376,4.7742449531333335,143.2273420291667
3,0,619.800764951,5.165006374591667,154.95018350300003
3,0,684.11758594,5.700979882833334,171.029385095
3,0,141.432708861,1.1786059071750001,35.358175192500006
3,0,131.73710845300002,1.0978092371083334,32.934275400833336
3,0,541.064441064,4.664348629862069,139.9304517189655
3,0,508.32596198400006,4.307847135457628,129.23540787457625
3,0,232.54904584629998,1.9379087153858332,58.13725840563333
3,0,49.608237831,0.413401981925,12.402058758999999
3,0,320.39403155,2.6699502629166667,80.0985035975
3,0,191.09142223899997,1.605810270915966,48.174305966974785
3,0,47.68430059799999,0.39736917164999996,11.921074672333333
3,0,294.637955905,2.4553162992083335,73.65948379083333
3,0,140.146392744,1.1777007793613445,35.33102183075631
3,0,222.98914758,1.8582428965,55.74728439416667
3,0,18.629256723500003,0.15524380602916668,4.657313891
3,0,176.37434119300002,1.4697861766083335,44.09358289916666
3,0,400.38574568,2.669238304533333,80.07714521446668
3,0,39.835675568,0.3292204592396694,9.876613316859505
3,0,472.34475995649996,3.936206332970833,118.0861829865
2,0,28.1893896959,0.23688562769663865,7.106568455210084
2,0,1053.7550213256002,8.781291844380002,263.43874232658334
2,0,473.86018325000003,3.948834860416667,118.46504023133333
2,0,269.743824224,2.2478652018666665,67.43595564416665
2,0,183.423476264,1.5285289688666666,45.855866633333335
2,0,862.7661193199999,7.250135456470588,217.50405337142857
2,0,576.6724137483,4.8056034479025,144.1680957837
2,0,1406.4107028449998,11.720089190374999,351.6026566808333
2,0,82.87656476186999,0.696441720687983,20.89325057568067
2,0,706.066890175,5.883890751458334,176.51671285916666
2,0,77.711539724,1.0092407756363637,30.277221670909086
2,0,418.292979234,3.4857748269499997,104.57323953833333
2,0,58.357134324,0.4863094527,14.589282938499998
2,0,37.650317871400006,0.3137526489283334,9.412579005583332
2,0,196.18513375999999,1.6348761146666666,49.046280412583336
2,0,96.020346984,0.8001695582,24.00508552166667
2,0,602.3592180034,5.019660150028333,150.58979666
2,0,271.30681796,2.2798892265546216,68.39667264033613
2,0,122.13591001900001,1.0177992501583335,30.53397606583333
2,0,123.83069348500001,1.0319224457083334,30.957671740833337
2,0,390.70508161,3.427237557982456,102.81712103508772
2,0,96.33769117,0.6422512744666666,19.267537346666668
2,0,90.357470088,0.7529789174,22.589366423916665
2,0,336.07013926800005,2.8005844939,84.01752992508334
5,0,953.9280198112999,8.01620184715378,240.48604331865548
