name,day,uroa_control,y_up
101,1,1,66.38655462184875
144,1,1,91.66666666666667
116,1,1,79.83193277310924
103,1,1,6.0344827586206895
142,1,1,97.5
159,1,1,56.666666666666664
105,1,1,99.15966386554622
126,1,1,0.0
120,1,1,30.833333333333332
158,1,1,78.33333333333333
139,1,1,37.81512605042017
113,1,1,95.0
104,1,1,26.666666666666668
122,1,1,99.16666666666667
137,1,1,99.15966386554622
108,1,1,45.833333333333336
150,1,1,90.0
128,1,1,80.83333333333333
149,1,1,95.86776859504133
133,1,1,0.8333333333333334
155,1,1,24.166666666666668
157,1,1,69.66292134831461
129,1,1,13.333333333333334
130,1,1,29.166666666666668
148,1,1,0.0
155,4,1,38.93805309734513
113,4,1,44.166666666666664
148,4,1,99.14529914529915
137,4,1,47.863247863247864
108,4,1,70.83333333333333
150,4,1,25.423728813559322
128,4,1,99.15254237288136
149,4,1,98.33333333333333
133,4,1,99.16666666666667
122,4,1,19.166666666666668
158,4,1,0.0
139,4,1,91.66666666666667
104,4,1,0.0
120,4,1,72.5
144,4,1,99.14529914529915
101,4,1,95.0
116,4,1,0.8403361344537815
146,4,1,26.666666666666668
103,4,1,97.5
142,4,1,0.0
114,4,1,1.6666666666666667
121,4,1,99.15254237288136
105,4,1,99.16666666666667
157,3,1,98.33333333333333
155,3,1,93.33333333333333
130,3,1,93.27731092436974
116,3,1,58.333333333333336
129,3,1,29.166666666666668
114,3,1,50.833333333333336
153,3,1,5.833333333333333
113,3,1,82.5
137,3,1,0.8403361344537815
149,3,1,0.0
128,3,1,71.90082644628099
150,3,1,73.33333333333333
122,3,1,0.0
120,3,1,95.0
139,3,1,24.369747899159663
158,3,1,36.206896551724135
146,3,1,97.5
125,3,1,47.5
105,3,1,94.16666666666667
121,3,1,99.15254237288136
142,3,1,73.55371900826447
153,2,1,96.66666666666667
130,2,1,91.59663865546219
116,2,1,98.98989898989899
129,2,1,0.0
155,2,1,5.833333333333333
157,2,1,5.0
149,2,1,99.16666666666667
128,2,1,41.666666666666664
150,2,1,95.86776859504133
133,2,1,10.084033613445378
113,2,1,91.52542372881356
108,2,1,21.008403361344538
104,2,1,43.58974358974359
158,2,1,76.66666666666667
120,2,1,0.0
122,2,1,98.33333333333333
142,2,1,96.93877551020408
105,2,1,41.666666666666664
159,2,1,50.0
125,2,1,40.833333333333336
144,2,1,99.16666666666667
101,2,1,0.847457627118644
146,2,1,96.66666666666667
103,2,1,98.33333333333333
120,5,1,7.5
122,5,1,99.17355371900827
118,1,0,71.66666666666667
160,1,0,2.0
127,1,0,14.166666666666666
107,1,0,97.5
140,1,0,55.833333333333336
138,1,0,30.508474576271187
102,1,0,31.666666666666668
117,1,0,96.66666666666667
145,1,0,29.166666666666668
124,1,0,95.0
119,1,0,80.83333333333333
141,1,0,11.864406779661017
143,1,0,45.0
106,1,0,54.166666666666664
111,1,0,0.0
156,1,0,0.0
135,1,0,71.66666666666667
154,1,0,73.10924369747899
131,1,0,68.0672268907563
152,1,0,50.833333333333336
109,1,0,99.15966386554622
110,1,0,70.83333333333333
136,1,0,6.779661016949152
151,1,0,87.06896551724138
109,4,0,6.779661016949152
110,4,0,99.15254237288136
136,4,0,98.34710743801652
132,4,0,26.470588235294116
151,4,0,65.54621848739495
156,4,0,25.833333333333332
117,4,0,0.0
135,4,0,54.166666666666664
131,4,0,3.3333333333333335
152,4,0,94.11764705882354
119,4,0,3.6363636363636362
102,4,0,24.166666666666668
145,4,0,50.42016806722689
141,4,0,79.83193277310924
106,4,0,0.0
143,4,0,63.63636363636363
112,4,0,0.8333333333333334
160,4,0,31.333333333333332
127,4,0,89.16666666666667
118,4,0,75.83333333333333
107,4,0,0.0
140,4,0,99.04761904761905
138,4,0,85.0
136,3,0,99.16666666666667
110,3,0,95.83333333333333
112,3,0,95.83333333333333
134,3,0,36.666666666666664
151,3,0,84.16666666666667
132,3,0,41.666666666666664
154,3,0,93.33333333333333
135,3,0,90.83333333333333
111,3,0,44.827586206896555
152,3,0,90.67796610169492
131,3,0,90.83333333333333
117,3,0,97.5
124,3,0,96.66666666666667
145,3,0,90.75630252100841
102,3,0,99.16666666666667
119,3,0,18.333333333333332
143,3,0,99.15966386554622
106,3,0,0.0
141,3,0,4.166666666666667
127,3,0,74.16666666666667
160,3,0,84.66666666666667
138,3,0,22.31404958677686
118,3,0,86.66666666666667
132,2,0,98.31932773109244
151,2,0,60.0
110,2,0,60.833333333333336
109,2,0,99.16666666666667
112,2,0,96.66666666666667
131,2,0,10.084033613445378
117,2,0,7.5
152,2,0,23.333333333333332
156,2,0,87.39495798319328
154,2,0,44.166666666666664
135,2,0,3.896103896103896
141,2,0,71.66666666666667
106,2,0,99.16666666666667
143,2,0,44.166666666666664
102,2,0,36.666666666666664
147,2,0,5.833333333333333
119,2,0,90.83333333333333
124,2,0,95.7983193277311
145,2,0,98.33333333333333
107,2,0,12.5
140,2,0,11.403508771929825
160,2,0,98.66666666666667
118,2,0,69.16666666666667
127,2,0,99.16666666666667
119,5,0,12.605042016806722
