Frames,Tail_X,Tail_Y,Tail_L,Body1_X,Body1_Y,Body1_L,Body2_X,Body2_Y,Body2_L,Body3_X,Body3_Y,Body3_L,Head_X,Head_Y,Head_L
2770,404.30185,1561.4904,0.8368566,447.08694,1589.3734,0.6878882,492.8791,1613.5906,1.0,552.5027,1648.7191,0.53445804,595.6946,1669.27,0.87851286
2771,410.1987,1564.7198,0.7405198,445.33215,1591.0227,0.6308151,491.12717,1613.8378,1.0,552.4158,1648.2765,0.50047857,597.2302,1668.6355,0.8785256
2772,411.396,1568.5015,0.7140659,444.43994,1592.5375,0.57867455,490.46057,1614.5753,1.0,552.3769,1647.4945,0.547088,597.06464,1667.2103,0.8855964
2773,411.64752,1569.3624,0.7046544,444.09995,1593.1812,0.5779107,488.99255,1614.1649,0.99375653,553.10864,1647.7644,0.5314169,597.6428,1666.949,0.8961284
2774,408.2151,1573.0558,0.460153,442.2582,1594.0095,0.56868035,491.84167,1615.0872,1.0,551.4616,1648.0859,0.48275372,602.297,1671.3483,0.74039906
2775,20.696955,1495.4031,0.10288764,474.87683,1634.0303,0.09359003,494.9399,1631.5018,0.37073478,508.8239,1622.7721,0.2222283,550.78076,1602.1344,0.17478636
2776,20.6452,1495.43,0.103373155,544.50574,1557.8922,0.2390683,599.6126,1579.9266,0.38975596,585.0429,1607.4249,0.27212504,557.2784,1553.1213,0.14990921
2777,623.5372,1635.0092,0.2667759,618.907,1588.4655,0.36306012,543.1219,1560.1455,0.35605663,263.1389,1896.6173,0.12733722,543.9418,1553.1232,0.13619648
2778,657.3583,1598.6362,0.6833854,624.7902,1584.7435,0.5673654,570.1104,1570.4937,0.43744296,561.6038,1567.334,0.14807175,543.35895,1553.4547,0.15964623
2779,667.4045,1584.1583,0.8183073,603.4706,1582.6621,0.47158894,569.6372,1579.2601,0.48804665,546.49475,1566.6182,0.1743229,546.2164,1554.5349,0.19941776
2780,645.6027,1586.2798,0.5326136,590.2234,1583.8363,0.48576018,558.80676,1581.3411,0.3599027,545.3541,1577.1222,0.1754745,550.3228,1551.6389,0.25108227
2781,613.74646,1596.715,0.7785763,572.27814,1577.0784,0.23411524,549.0325,1582.1785,0.3692141,344.60364,1898.7438,0.12963907,557.0523,1548.6168,0.2128276
2782,602.0527,1602.0883,0.65332836,541.90454,1573.7993,0.13174425,55.01712,1863.7845,0.36085138,544.32587,1565.8446,0.14611134,555.6621,1549.9517,0.26294547
2783,602.3318,1603.2025,0.70984095,541.43353,1572.8264,0.11577238,54.776974,1863.9869,0.39159676,549.2405,1576.7804,0.1396879,559.80664,1541.3491,0.29006746
2784,597.56573,1608.4722,0.7595583,561.289,1549.2998,0.12979725,54.297134,1864.4376,0.34502012,547.9397,1574.8732,0.15801448,563.9189,1537.0144,0.19295934
2785,597.85425,1618.1892,0.63945323,563.91925,1550.2759,0.10238406,546.6266,1565.8167,0.40428805,548.9674,1573.6227,0.2246783,565.78015,1536.037,0.18416819
2786,588.8519,1622.6345,0.6135212,535.2899,1565.878,0.17027563,547.216,1562.8507,0.4402939,548.5061,1572.5724,0.1958432,568.7806,1534.3141,0.12904997
2787,586.4196,1626.7563,0.6072858,554.7267,1604.0751,0.15101887,548.62946,1562.8965,0.41342542,549.8275,1571.3824,0.20011581,573.48474,1529.5544,0.20862262
2788,577.0381,1628.5818,0.3608262,536.0333,1553.7949,0.14336684,553.8064,1559.631,0.5015618,552.1368,1578.284,0.23143706,576.2121,1528.7192,0.2531139
2789,575.3601,1631.5388,0.3079873,544.1263,1598.047,0.1376797,555.5574,1558.2439,0.40481126,559.47943,1551.7153,0.26107374,579.01917,1524.1367,0.22332722
