Frames,Tail_X,Tail_Y,Tail_L,Body1_X,Body1_Y,Body1_L,Body2_X,Body2_Y,Body2_L,Body3_X,Body3_Y,Body3_L,Head_X,Head_Y,Head_L
2700,569.27655,1469.8328,0.714803,614.3792,1483.9578,0.4778372,624.2257,1497.9519,0.35822886,631.3156,1512.8052,0.3594324,647.2852,1529.3995,0.55113995
2701,575.14825,1471.0338,0.689349,615.8306,1478.8948,0.45033658,623.4728,1492.3647,0.33221883,632.42285,1511.3506,0.39221805,647.115,1527.9692,0.53089887
2702,580.933,1464.9977,1.0,616.9656,1475.5742,0.51080716,623.0996,1489.9442,0.34365305,632.98425,1509.1182,0.45199996,647.3824,1526.9254,0.5136818
2703,588.2265,1465.0979,0.8083971,616.82104,1476.1475,0.55440766,931.9506,1881.8557,0.29691216,633.50464,1506.2051,0.4179018,647.66254,1523.8402,0.5341425
2704,580.2293,1463.6025,0.713941,610.88293,1475.3195,0.6197267,621.54,1490.6686,0.2890305,630.4934,1505.048,0.39048013,647.3417,1521.5172,0.61853516
2705,570.8886,1462.0046,0.7679001,610.95844,1473.4591,0.60589415,621.60846,1490.381,0.45385048,628.5942,1504.5142,0.44926414,648.2982,1519.5358,0.772531
2706,571.0239,1458.776,0.8276992,613.4471,1474.9447,0.49120283,622.18024,1489.097,0.34246132,626.90515,1504.1876,0.47754487,648.43317,1517.5503,0.78727114
2707,577.51105,1461.407,0.75873965,613.38367,1476.1362,0.39838535,621.404,1487.1835,0.35884932,629.5148,1499.9576,0.41984007,648.7062,1517.0266,0.6756365
2708,581.2493,1452.666,0.731659,614.1513,1472.488,0.31734392,618.21686,1482.3217,0.26620662,627.93756,1496.087,0.5167445,646.75665,1511.6497,0.6024911
2709,591.9882,1451.2258,0.29081354,611.84094,1473.8856,0.22885233,616.6397,1479.6515,0.24397606,626.201,1494.46,0.51421666,650.2798,1508.1278,0.5737712
2710,598.6179,1468.9048,0.27839777,614.8499,1474.2999,0.27338842,623.0394,1479.1964,0.24250533,627.1196,1495.6027,0.5205036,649.1805,1504.2721,0.6893059
2711,597.8498,1457.3597,0.33908558,616.6201,1473.3383,0.26786876,625.6206,1479.3966,0.27862808,630.48145,1495.1528,0.5255985,652.6166,1502.0029,0.70333815
2712,598.93396,1472.6907,0.4570294,622.497,1475.021,0.2536524,629.85815,1480.9559,0.25845322,634.394,1496.5094,0.48302746,652.9757,1499.7607,0.6438545
2713,597.9855,1475.403,0.61446196,621.05914,1476.8837,0.28408706,630.71027,1482.4268,0.27844924,638.5671,1497.6975,0.45523155,654.4443,1500.3062,0.6606711
2714,588.1675,1472.5576,0.65091,622.8044,1475.1597,0.30300733,632.4203,1482.2561,0.2704391,635.7548,1495.3884,0.38837487,656.6623,1501.2043,0.69186866
2715,594.6006,1468.4613,0.44115302,619.81805,1469.6738,0.32974008,629.30945,1478.4486,0.30306998,635.899,1490.1576,0.46462113,661.41156,1496.4893,0.63070685
2716,600.1877,1475.0532,0.25163737,617.7591,1472.239,0.24070778,930.83887,1882.21,0.24331231,635.2105,1487.5007,0.4923772,661.00824,1493.631,0.5702121
