Frames,Tail_X,Tail_Y,Tail_L,Body1_X,Body1_Y,Body1_L,Body2_X,Body2_Y,Body2_L,Body3_X,Body3_Y,Body3_L,Head_X,Head_Y,Head_L
2800,375.3863,1470.0403,0.8987403,328.3013,1478.7278,0.67187697,284.42548,1500.8038,0.61062133,225.68878,1540.7656,0.5868864,144.88245,1562.4927,0.31712705
2801,374.5989,1468.3633,0.90385306,322.08118,1484.146,0.6203825,280.0286,1506.8964,0.8392773,224.08405,1548.4458,0.65532607,155.95547,1568.8619,0.32973835
2802,377.52768,1466.2806,0.87641793,321.64362,1488.5073,0.74682707,277.51492,1511.2705,0.7518291,226.04411,1552.2639,0.6714666,137.53125,1571.3214,0.31473428
2803,377.35513,1468.35,0.8589245,315.53375,1494.7557,0.72466475,270.4136,1520.7703,0.6928117,219.56137,1560.9165,0.53824246,130.62802,1580.1958,0.3311255
2804,375.62155,1473.7397,0.7379569,308.57086,1503.122,0.8468787,264.46194,1529.9231,0.7292196,207.58919,1570.8713,0.4634521,131.71994,1583.8252,0.30778244
2805,373.07535,1479.0483,0.57951367,306.58792,1510.0728,0.7821825,261.3164,1535.1512,0.7865331,211.27519,1572.3593,0.5615265,133.76855,1584.8071,0.2882294
2806,368.82837,1485.3599,0.35896215,304.3266,1516.5913,0.82247525,257.84674,1540.9742,0.8268526,205.29628,1576.6337,0.5342477,130.20537,1587.0288,0.35230803
2807,349.49225,1499.0493,0.27381557,298.6327,1519.8638,0.5849375,245.52199,1549.2338,0.58417654,211.58159,1573.1367,0.21295151,144.37764,1571.6315,0.21353614
2808,188.66174,1582.4072,0.10675585,171.25087,1564.1727,0.2966608,244.32906,1550.0198,0.59303516,276.40338,1556.4529,0.3700248,304.1902,1577.9058,0.4826993
2809,289.3657,1523.5966,0.074970566,324.35886,1529.6827,0.17267609,318.33322,1571.2268,0.5064265,270.0278,1602.3746,0.3532337,261.78885,1606.9176,0.2745775
2810,348.71194,1527.1946,0.2748043,340.2757,1555.8973,0.4308831,309.4767,1576.487,0.76643026,270.2815,1603.3392,0.6080514,244.03477,1625.5885,0.4762953
2811,369.40533,1532.5304,0.66948587,339.0405,1556.5916,0.8069585,306.05292,1577.3855,0.70746297,260.6451,1613.0236,0.5780301,231.71902,1632.4193,0.47830755
2812,382.94717,1535.1786,0.6821091,336.96237,1560.6229,0.7203355,296.18945,1583.5742,0.7166491,251.6058,1619.8833,0.51518995,185.78496,1639.912,0.194035
2813,392.42264,1538.626,0.6733489,335.84393,1568.089,0.7256722,289.3094,1591.5648,0.71086645,240.46643,1628.4279,0.4618997,964.8299,1867.2595,0.116508536
2814,398.77225,1545.3922,0.72376204,329.7302,1574.4874,0.7116773,281.31607,1598.7769,0.63930506,239.304,1630.6698,0.5165111,141.45856,1631.3063,0.12215293
2815,399.97748,1557.0322,0.67047155,326.0961,1580.2747,0.78903264,275.376,1603.4956,0.729622,228.32668,1637.938,0.51450783,964.6739,1867.7266,0.11205256
2816,396.97256,1564.6765,0.74477863,321.8807,1585.5406,0.750328,271.7062,1608.455,0.6446903,226.71019,1639.6226,0.4955492,964.37823,1867.8993,0.08501822
2817,389.67786,1570.4291,0.67118096,318.05722,1589.2758,0.72235024,266.16895,1614.5112,0.6866545,225.79271,1640.688,0.4419254,964.95935,1867.7126,0.10251031
2818,381.0684,1572.2972,0.71437573,313.23416,1594.5157,0.75889915,266.0626,1618.2062,0.67628914,166.81169,1646.7849,0.45702347,964.0645,1869.0608,0.09887642
2819,380.61404,1571.2964,0.7009086,309.54092,1596.9038,0.8004974,265.88535,1620.9265,0.7409908,224.90218,1646.8973,0.5095697,140.73653,1640.7115,0.13261563
2820,379.23273,1573.5519,0.61551803,312.64716,1599.3086,0.7555253,267.77902,1624.7499,0.6246774,225.56685,1650.2133,0.4882171,136.16177,1644.9042,0.148532
2821,375.15363,1573.1128,0.3378508,312.90857,1601.203,0.7470829,267.50296,1631.2351,0.65654194,225.65407,1652.7864,0.4872627,136.76897,1647.6755,0.18045032
2822,363.0204,1589.6051,0.4937547,311.8105,1603.0311,0.79947996,267.99332,1632.878,0.724092,226.83112,1654.8813,0.54568285,143.08846,1649.6208,0.112676725
2823,357.78287,1590.2931,0.56980026,312.2658,1603.9929,0.8073991,270.44324,1633.7979,0.7440128,226.1995,1656.8818,0.5714055,143.36618,1650.0122,0.13045293
2824,352.16327,1591.6941,0.5936691,310.58615,1606.3019,0.7817262,271.63712,1630.9238,0.7123671,227.299,1657.679,0.55302924,143.05838,1651.1632,0.12645157
2825,349.9179,1591.4169,0.62977374,310.45184,1607.0049,0.79686564,273.34497,1630.8928,0.7116485,227.73195,1656.0028,0.48623607,142.74811,1651.1678,0.1658239
2826,349.63895,1589.4928,0.6241134,311.75748,1606.7057,0.82485753,277.8632,1632.3965,0.7688118,229.5168,1657.7152,0.5801866,142.93483,1651.0417,0.13191402
2827,349.2246,1589.0747,0.61305827,313.1904,1605.9353,0.7988029,280.66925,1630.8352,0.80099165,236.51149,1655.1238,0.65771794,143.14452,1650.2797,0.12631403
2828,348.8097,1589.7386,0.61851394,313.04395,1606.7997,0.74548507,281.37213,1629.759,0.7664026,236.95705,1654.3357,0.6231296,142.49509,1650.2233,0.091975
2829,349.03134,1590.2095,0.6499814,312.4543,1610.807,0.6978049,281.10687,1630.6843,0.7807591,237.6553,1654.0466,0.6135926,142.80875,1651.1028,0.08861051
2830,350.33435,1588.0448,0.62409455,315.46866,1608.8439,0.68715805,281.91266,1629.9863,0.7826138,237.58311,1653.4198,0.630928,964.74536,1868.3333,0.10484103
2831,352.08282,1585.8097,0.6889365,316.49948,1608.5397,0.67452997,279.42316,1630.4803,0.774174,238.7037,1652.6892,0.648653,965.1183,1868.2078,0.14218293
2832,353.74844,1583.9451,0.6955939,321.03552,1604.5706,0.7441552,281.0888,1629.7799,0.7955013,238.65428,1651.8578,0.65445465,964.9947,1867.6685,0.13591142
2833,356.52277,1581.9971,0.622506,322.0645,1604.953,0.7954092,280.95773,1629.7378,0.80534536,238.18733,1650.5598,0.678041,142.3437,1648.4625,0.14178324
2834,358.35886,1579.9402,0.57707393,323.60486,1604.316,0.8113119,282.16562,1629.2502,0.7934137,236.71005,1650.7574,0.6842874,964.91907,1867.9669,0.1203412
2835,364.15488,1576.655,0.53531253,325.42145,1603.1532,0.7922581,283.73035,1628.2192,0.7393783,236.24655,1650.4017,0.6717973,141.72481,1646.2439,0.12130582
2836,370.22183,1574.3143,0.42450225,326.0263,1603.0027,0.7525272,283.73358,1627.8209,0.7452464,238.0446,1650.3788,0.65938467,142.23213,1647.0321,0.104353674
2837,379.9886,1569.9458,0.44880623,328.36966,1601.835,0.7483373,284.63715,1627.1584,0.74139684,238.31754,1649.4788,0.66114837,142.43777,1647.1866,0.09461615
2838,381.8707,1568.297,0.5654878,329.6564,1601.4199,0.76047987,285.87073,1623.2236,0.74780786,238.29233,1649.172,0.6567866,964.2012,1869.3297,0.088318095
2839,385.3313,1564.6234,0.41717508,330.5974,1600.9493,0.730815,286.37512,1622.2722,0.76923585,239.2664,1649.847,0.67038757,208.105,1666.3691,0.10805973
2840,387.3577,1563.0579,0.56580347,330.98782,1601.0312,0.71916324,287.64594,1621.6226,0.8031039,239.95326,1648.3478,0.6902927,208.74068,1667.2196,0.13527632
2841,396.00754,1561.79,0.5403258,331.07205,1601.6691,0.7422861,287.97202,1622.001,0.77714837,239.42119,1650.2128,0.69371843,208.23184,1666.7686,0.12848224
2842,403.14575,1563.9319,0.5989918,331.29526,1601.3405,0.74375415,288.68454,1622.1383,0.8014327,238.92418,1650.3895,0.686837,207.77325,1666.6066,0.12301795
2843,405.95996,1566.2294,0.5811271,332.61874,1601.5685,0.72202957,289.76627,1621.6517,0.8253755,239.29962,1650.0741,0.6770827,207.92973,1666.9565,0.12308518
2844,406.53082,1567.9674,0.56080395,341.71646,1598.4789,0.7021992,289.8839,1621.929,0.81979984,237.75514,1650.8363,0.70190096,202.70872,1666.3658,0.11952699
2845,406.8363,1569.3539,0.48186788,341.65717,1598.688,0.6980339,289.97733,1621.9244,0.8403201,237.87212,1650.0319,0.7246787,202.60065,1665.8525,0.13007317
2846,407.6978,1569.3715,0.46483487,336.5124,1600.5271,0.71155375,290.95285,1621.6521,0.8468423,238.25041,1649.5278,0.71842533,203.16035,1665.1115,0.1292913
2847,408.0136,1571.0547,0.50763696,337.30106,1600.2719,0.7070842,291.44702,1620.7273,0.8568436,237.92865,1649.358,0.70056653,203.72932,1664.5096,0.12540095
2848,408.30148,1572.5448,0.52062136,337.90353,1600.2833,0.7151635,292.24146,1620.1144,0.8591352,238.62352,1648.0831,0.68210155,143.16505,1647.6798,0.083619215
2849,409.15936,1573.3635,0.53821427,338.2706,1600.4834,0.6931289,291.89056,1620.7573,0.85867584,237.80705,1649.2031,0.67672324,142.78456,1647.4121,0.10146591
2850,410.23624,1574.5742,0.50867623,344.36563,1598.6189,0.7310541,294.06094,1619.388,0.85104585,239.711,1647.8911,0.6568315,964.3626,1868.2928,0.096659735
2851,411.36234,1573.5048,0.494916,344.43954,1598.8225,0.74510264,295.61102,1618.9264,0.8411507,241.03658,1647.5356,0.6571541,964.33167,1868.3883,0.11126532
2852,412.49185,1574.8883,0.49649727,340.3449,1600.2701,0.73330194,294.926,1619.1188,0.8114228,239.34799,1647.9336,0.6318994,963.7593,1868.0431,0.09608935
2853,413.98773,1578.3484,0.51633495,340.18283,1601.1447,0.72065014,293.58704,1620.3832,0.7977414,236.17169,1650.0972,0.6037277,142.4927,1645.8806,0.10203254
2854,415.2819,1580.3208,0.47184592,339.22986,1601.9907,0.706126,293.78644,1620.8112,0.815118,238.68297,1647.8268,0.6144156,963.8064,1867.5525,0.12654148
