Frames,Tail_X,Tail_Y,Tail_L,Body1_X,Body1_Y,Body1_L,Body2_X,Body2_Y,Body2_L,Body3_X,Body3_Y,Body3_L,Head_X,Head_Y,Head_L
2672,384.63055,1579.1833,0.42792073,365.17984,1633.267,0.6027494,335.879,1671.368,0.5081634,290.2508,1736.8192,0.38033417,260.21457,1814.2478,0.33911392
2673,423.88992,1623.7465,0.76272434,356.49496,1655.8978,0.5582362,309.75085,1681.5858,0.50593144,278.74207,1747.8284,0.3700316,264.71844,1813.0289,0.29138833
2674,387.10577,1644.1477,0.8650013,314.34366,1665.5641,0.47896728,298.60306,1686.7258,0.42068055,281.3779,1751.1163,0.3818397,267.73944,1807.925,0.34089202
2675,369.03955,1641.1669,0.9216407,314.07224,1678.2535,0.3991245,295.48666,1708.3002,0.5178653,279.56656,1752.626,0.3552308,271.54382,1802.5646,0.34877586
2676,367.06488,1651.5312,0.7182603,322.3641,1687.8817,0.29224825,291.2915,1720.0815,0.3567208,280.70358,1752.8228,0.32185197,26.795218,1533.8048,0.14731151
2677,373.8614,1680.7007,0.98041964,305.54965,1708.9932,0.54033804,275.72137,1718.968,0.4042505,264.33423,1760.2736,0.2992839,296.85455,1793.9249,0.13113144
2678,360.93808,1695.3381,0.33555472,239.81049,1716.6764,0.29665512,274.66183,1748.2507,0.40902606,349.1601,1791.9548,0.26422918,26.571232,1534.3071,0.117341936
2679,124.865555,1727.8387,0.23776989,240.64212,1703.5267,0.38917893,275.61758,1736.1746,0.671004,329.2593,1764.4965,0.36321366,371.81174,1783.3982,0.4084061
2680,124.832085,1728.4772,0.22219998,228.61137,1705.3977,0.2918152,281.24554,1731.1965,0.7202809,340.8323,1757.3987,0.4548115,394.6494,1780.8715,0.49827296
2681,205.02576,1695.5546,0.20244232,238.49374,1712.1694,0.38594097,301.42538,1734.107,0.7301479,359.73132,1756.3134,0.57229024,414.20065,1773.7684,0.4104302
2682,197.3602,1711.2557,0.8183408,259.22586,1719.0111,0.6925283,318.30176,1732.4417,0.7383623,378.96185,1753.893,0.52454776,443.1041,1767.1176,0.38701275
2683,124.66139,1727.3563,0.25694954,264.4865,1720.6069,0.42179018,328.71597,1734.1377,0.64531356,405.47372,1749.2311,0.48182207,476.4718,1768.015,0.39731815
2684,222.22633,1742.977,0.5761094,300.72168,1723.4814,0.37633932,359.6676,1731.5687,0.74841905,436.71884,1745.9681,0.46379656,504.83792,1759.745,0.22847109
2685,253.23747,1720.1422,0.5748792,315.46344,1722.8446,0.5295406,378.18176,1724.6433,0.8054878,465.83746,1742.2168,0.37809348,543.16095,1759.9971,0.22272554
2686,297.0455,1711.6471,0.42628735,339.61105,1714.6652,0.5644975,403.51855,1723.1864,0.66279304,484.7825,1736.2974,0.42828733,25.383213,1533.5886,0.16567595
2687,322.7518,1709.2164,0.50374347,373.35992,1707.07,0.49112752,431.3782,1716.9039,0.6891138,518.96906,1733.6389,0.46812865,631.74426,1741.7374,0.28089333
2688,312.2164,1703.0748,0.7991583,384.37985,1705.4198,0.5063464,455.1385,1714.1549,0.61943674,539.03296,1728.6401,0.40722662,622.2136,1739.455,0.2628435
2689,322.8283,1694.6844,0.9198304,412.0696,1700.9291,0.47940233,485.61322,1707.5837,0.8295902,565.69543,1720.3696,0.49627784,25.60675,1533.7504,0.15779454
2690,351.6689,1686.3049,0.8276594,443.2442,1695.6201,0.36789352,515.3823,1703.721,0.84937686,587.27686,1716.5951,0.43345106,683.85846,1725.7328,0.32871535
2691,368.03033,1686.305,0.74386686,437.88477,1688.0336,0.3596453,534.21246,1698.4224,0.8076518,612.64905,1707.685,0.40827906,667.60913,1713.9874,0.7097005
2692,376.05203,1688.9332,0.7194124,480.52963,1686.6865,0.34938073,553.9394,1687.3241,0.8278896,629.1262,1695.1798,0.44263408,685.0844,1693.9857,0.43557322
2693,432.0543,1706.2598,0.27479196,515.53406,1684.607,0.32750836,589.56464,1678.4868,0.8386135,643.88794,1682.4648,0.48822102,689.2614,1693.4679,0.50258905
2694,495.4399,1687.116,0.45233467,526.5539,1681.5856,0.3945694,617.0888,1667.9846,0.4658703,639.2159,1666.2299,0.23383787,26.03717,1533.0585,0.16226825
2695,529.7576,1673.1483,0.7404099,596.98505,1667.4312,0.20348957,634.8787,1660.1655,0.2714034,600.8712,1665.5458,0.21315853,640.1332,1659.8733,0.5121606
2696,550.74744,1665.466,0.6301886,620.60785,1657.3103,0.17428796,665.72864,1648.546,0.2952913,958.8975,1896.3223,0.14472352,645.6961,1653.109,0.40014824
2697,124.93264,1724.3741,0.2679315,617.5728,1644.8256,0.26276517,606.36676,1648.3634,0.34270123,624.4943,1636.0894,0.15892574,638.69086,1619.0126,0.19067027
2698,125.04536,1725.7823,0.29539967,630.63403,1616.9214,0.12245482,644.07684,1609.9906,0.29555756,606.274,1636.7908,0.34877932,594.4742,1649.9801,0.3756954
2699,124.846924,1724.9916,0.27875948,679.7303,1643.6682,0.22343144,647.7251,1615.162,0.2685557,634.5253,1624.3531,0.28824428,576.4732,1647.8672,0.5313455
2700,125.03865,1725.416,0.3033086,664.5608,1566.9142,0.16471416,637.0326,1605.8066,0.52933675,614.1793,1621.7502,0.4985526,566.1975,1643.4473,0.55253583
2701,124.85721,1725.4442,0.32019386,658.1077,1555.0355,0.10525314,631.5479,1603.0065,0.37664047,608.422,1613.9332,0.5685754,557.5491,1639.9854,0.60396296
2702,124.87499,1727.5441,0.3419206,651.7403,1571.8619,0.22991091,612.5205,1588.8883,0.41150093,585.394,1607.2572,0.635441,551.6184,1637.0166,0.56450486
2703,685.50525,1572.5693,0.6765937,627.0246,1580.6517,0.583947,594.86957,1587.5454,0.5349498,571.4966,1607.0006,0.73315793,546.1539,1635.7439,0.61071485
2704,686.9136,1566.9072,0.69523364,616.8498,1582.7953,0.604539,582.3884,1588.1194,0.43334478,564.02057,1604.2015,0.69154197,539.04193,1637.4646,0.5835332
2705,684.216,1580.705,0.81073743,610.7173,1584.2709,0.59382904,576.60474,1590.0492,0.46528184,553.17035,1606.1569,0.72385824,534.5155,1639.6001,0.62363106
2706,679.776,1582.7291,0.8142741,602.2416,1588.2113,0.602832,572.13116,1592.2828,0.3572394,551.0234,1607.9075,0.6400239,531.3327,1641.3875,0.73969835
2707,676.5585,1588.4468,0.6273166,597.52814,1595.8743,0.60110044,563.6492,1600.2782,0.3387642,551.0572,1612.664,0.45679566,527.3812,1644.9318,0.73071504
2708,667.40643,1595.1727,0.75471246,593.2076,1597.4432,0.5339677,559.11957,1602.6019,0.33388788,548.15656,1613.456,0.4583827,527.6522,1646.9489,0.7147234
2709,657.1863,1588.632,0.77792984,584.9895,1599.7911,0.4712998,555.56866,1602.0758,0.24415456,542.537,1615.2649,0.44250807,526.64844,1648.3267,0.68873435
2710,662.6784,1588.295,0.79717404,582.1878,1600.0354,0.41983536,551.73425,1601.1683,0.20962343,541.61273,1616.009,0.36683008,525.77344,1650.917,0.61310166
2711,656.48627,1588.2584,0.7438478,573.7932,1600.096,0.37882608,550.80176,1601.8536,0.22320628,539.6949,1617.4998,0.24579248,523.2769,1654.2417,0.5955857
2712,645.71356,1586.853,0.7781918,567.3931,1599.1013,0.5077348,551.7723,1602.1674,0.22801074,539.29236,1617.4164,0.26561823,522.7356,1654.5597,0.6059746
2713,633.0282,1598.5677,0.84098506,568.12085,1603.2048,0.43716207,540.2438,1612.9872,0.18774618,542.30536,1620.0023,0.3819957,522.79395,1658.0602,0.5951853
2714,600.60583,1606.7772,0.53465897,566.53033,1615.505,0.33408007,546.40717,1627.9349,0.38473418,536.5688,1646.1285,0.6403632,517.44336,1671.2501,0.24813122
2715,124.97724,1726.9381,0.3148169,550.52997,1574.7172,0.21997279,547.73285,1616.6283,0.28701666,528.16473,1655.3522,0.48289526,487.05118,1689.0616,0.29845557
2716,124.856285,1726.2975,0.30975914,553.402,1563.5557,0.22202288,544.9056,1623.1575,0.45779914,508.29913,1667.1014,0.60247785,458.0433,1713.1511,0.57586265
2717,124.752625,1726.6945,0.34174496,583.4439,1564.5123,0.22434893,545.42896,1613.9803,0.48011893,497.10666,1671.1039,0.54507816,442.63794,1726.1969,0.6947382
2718,601.8591,1521.226,0.90351623,545.49805,1558.1901,0.7416458,524.8118,1603.8605,0.5631694,461.57074,1710.7799,0.51571184,419.32755,1757.6204,0.42044485
2719,543.3684,1495.2356,0.5753844,537.2544,1558.1241,0.6867073,522.212,1613.8416,0.6112074,444.6242,1728.7399,0.6071072,402.85974,1777.6617,0.41045114
