name,start time(s),end time(s),start frame,end frame,x,y
d48_33_F1.mp4,88.69,93.69,2659.0,2809.0,471,540
d48_84_Sat1.mp4,33.33,38.30,1000.0,1149.0,511,525
d48_82_Sat1.mp4,28.46,33.43,854.0,1003.0,702,637
d48_39_F1.mp4,87.09,91.99,2611.0,2758.0,529,647
d48_54_F1.mp4,43.91,48.88,1317.0,1466.0,347,727
d48_62_F1.mp4,60.36,65.37,1810.0,1960.0,404,807
d48_51_F1.mp4,60.13,65.10,1803.0,1952.0,387,777
d48_41_F1.mp4,88.42,92.23,2651.0,2765.0,282,632
d48_78_Sat1.mp4,33.37,38.37,1001.0,1151.0,423,528
d48_79_Sat1.mp4,20.85,25.86,626.0,776.0,336,531
d48_57_F1.mp4,60.59,65.57,1817.0,1966.0,541,788
d48_34_F1.mp4,88.76,93.73,2661.0,2810.0,495,547
d48_38_F1.mp4,88.42,93.43,2651.0,2801.0,444,567
d48_45_F1.mp4,87.89,92.86,2635.0,2784.0,450,504
d48_36_F1.mp4,88.96,93.93,2667.0,2816.0,304,565
d48_81_Sat1.mp4,31.06,36.00,932.0,1080.0,378,616
d48_82_Thu1.mp4,31.93,35.64,958.0,1069.0,671,803
d48_84_Thu1.mp4,30.46,35.44,914.0,1063.0,461,734
d48_50_T1.mp4,89.09,94.06,2671.0,2820.0,543,813
d48_63_T1.mp4,62.20,67.17,1865.0,2014.0,545,862
d48_24_T1.mp4,88.72,93.63,2660.0,2807.0,493,645
d48_36_T1.mp4,89.52,94.19,2684.0,2824.0,379,682
d48_78_Thu1.mp4,30.63,35.64,919.0,1069.0,472,708
d48_79_Thu1.mp4,30.43,35.44,913.0,1063.0,335,714
d48_34_T1.mp4,89.39,94.39,2680.0,2830.0,518,680
d48_41_S1.mp4,76.18,81.15,2284.0,2433.0,354,694
d48_38_T1.mp4,88.96,93.93,2667.0,2816.0,471,748
d48_51_T1.mp4,60.13,65.10,1803.0,1952.0,391,813
d48_58_M1.mp4,61.06,66.00,1831.0,1979.0,449,798
d48_83_M1.mp4,60.09,65.00,1802.0,1949.0,498,728
d48_72_M1.mp4,59.33,64.30,1779.0,1928.0,624,786
d48_48_M1.mp4,89.56,94.49,2685.0,2833.0,478,786
d48_35_M1.mp4,89.32,94.29,2678.0,2827.0,388,779
d48_52_M1.mp4,60.69,65.67,1820.0,1969.0,402,769
d48_42_M1.mp4,90.22,95.20,2705.0,2854.0,396,788
d48_71_M1.mp4,59.06,63.96,1771.0,1918.0,372,748
d48_80_M1.mp4,59.46,64.43,1783.0,1932.0,432,857
d48_77_M1.mp4,60.23,65.17,1806.0,1954.0,422,791
d48_53_M1.mp4,59.99,64.93,1799.0,1947.0,329,780
d48_42_S1.mp4,77.24,82.15,2316.0,2463.0,410,716
d48_64_S1.mp4,90.72,95.70,2720.0,2869.0,525,633
d48_48_S1.mp4,88.96,93.93,2667.0,2816.0,455,710
d48_77_Sun1.mp4,33.83,38.81,1015.0,1164.0,426,593
d48_70_S1.mp4,59.66,64.63,1789.0,1938.0,441,782
d48_43_S1.mp4,88.49,93.36,2653.0,2799.0,339,699
d48_43_S1.mp4,148.55,153.19,4453.0,4592.0,339,699
d48_69_S1.mp4,62.50,67.43,1874.0,2022.0,317,713
d48_49_S1.mp4,88.59,93.56,2656.0,2805.0,513,736
d48_71_S1.mp4,60.36,65.27,1810.0,1957.0,428,797
d48_52_F1.mp4,60.46,65.43,1813.0,1962.0,428,785
d48_70_F1.mp4,59.96,64.93,1798.0,1947.0,443,790
d48_53_F1.mp4,60.33,65.00,1809.0,1949.0,312,746
d48_63_F1.mp4,60.93,65.90,1827.0,1976.0,448,854
d48_70_T1.mp4,60.03,64.93,1800.0,1947.0,402,837
d48_48_T1.mp4,89.56,94.49,2685.0,2833.0,481,730
d48_44_T1.mp4,89.09,94.06,2671.0,2820.0,447,870
d48_44_T1.mp4,149.08,154.05,4469.0,4618.0,447,870
d48_83_Thu1.mp4,30.56,35.54,917.0,1066.0,473,757
d48_52_T1.mp4,59.73,64.63,1791.0,1938.0,400,801
d48_66_T1.mp4,58.22,63.20,1746.0,1895.0,404,799
d48_42_T1.mp4,89.12,94.06,2672.0,2820.0,375,774
d48_49_T1.mp4,110.14,116.45,3302.0,3491.0,75,1468
d48_53_T1.mp4,60.46,65.30,1813.0,1958.0,331,729
d48_54_M1.mp4,60.03,65.03,1800.0,1950.0,351,782
d48_81_M1.mp4,60.09,63.83,1802.0,1914.0,418,802
d48_60_M1.mp4,60.59,65.50,1817.0,1964.0,480,829
d48_74_M1.mp4,59.56,64.53,1786.0,1935.0,414,732
d48_82_M1.mp4,60.16,65.06,1804.0,1951.0,641,826
d48_59_M1.mp4,60.76,65.77,1822.0,1972.0,488,772
d48_57_M1.mp4,60.86,65.83,1825.0,1974.0,763,771
d48_84_M1.mp4,59.69,64.66,1790.0,1939.0,487,715
d48_67_M1.mp4,60.09,65.10,1802.0,1952.0,429,749
d48_79_M1.mp4,59.33,64.30,1779.0,1928.0,291,794
d48_46_S1.mp4,89.02,93.83,2669.0,2813.0,380,750
d48_67_S1.mp4,62.40,67.27,1871.0,2017.0,413,826
d48_45_S1.mp4,87.09,92.06,2611.0,2760.0,465,748
