name,start time(s),end time(s),start frame,end frame
110_T.mp4,150.32,154.29,4506.0,4625.0
105_M.mp4,90.42,94.36,2711.0,2829.0
105_M.mp4,150.42,154.39,4509.0,4628.0
108_F.mp4,169.27,172.11,5074.0,5159.0
102_M.mp4,119.59,123.56,3585.0,3704.0
108_T.mp4,91.09,95.03,2731.0,2849.0
106_M.mp4,5.51,8.84,166.0,266.0
106_M.mp4,87.39,91.36,2620.0,2739.0
102_S.mp4,88.99,92.96,2668.0,2787.0
104_T.mp4,89.69,93.63,2689.0,2807.0
106_T.mp4,86.69,90.66,2599.0,2718.0
102_F.mp4,85.05,89.02,2550.0,2669.0
102_F.mp4,145.01,149.02,4347.0,4467.0
108_M.mp4,85.59,89.56,2566.0,2685.0
102_T.mp4,181.81,185.79,5450.0,5569.0
106_S.mp4,89.69,93.66,2689.0,2808.0
107_T.mp4,50.95,54.92,1528.0,1647.0
107_T.mp4,110.94,114.91,3326.0,3445.0
109_M.mp4,90.86,94.79,2724.0,2842.0
101_S.mp4,90.86,94.83,2724.0,2843.0
103_S.mp4,91.26,95.23,2736.0,2855.0
105_T.mp4,90.26,94.23,2706.0,2825.0
101_T.mp4,87.85,91.83,2634.0,2753.0
105_F.mp4,90.39,94.26,2710.0,2826.0
103_MDLC_resnet50_KF_FullMay24shuffle1_50000_full.mp4,113.85,117.75,3413.0,3530.0
105_S.mp4,90.69,94.66,2719.0,2838.0
103_T.mp4,89.66,93.63,2688.0,2807.0
118_M.mp4,108.24,112.18,3245.0,3363.0
119_M.mp4,85.22,89.19,2555.0,2674.0
120_M.mp4,88.86,92.83,2664.0,2783.0
120_M.mp4,148.85,152.85,4462.0,4582.0
122_M.mp4,90.29,94.26,2707.0,2826.0
122_W.mp4,89.56,93.53,2685.0,2804.0
119_F.mp4,86.92,90.89,2606.0,2725.0
119_S.mp4,90.76,94.69,2721.0,2839.0
120_W.mp4,89.89,93.86,2695.0,2814.0
122_T.mp4,87.89,91.86,2635.0,2754.0
120_S.mp4,89.89,93.86,2695.0,2814.0
119_W.mp4,90.79,94.76,2722.0,2841.0
122_S.mp4,91.93,95.93,2756.0,2876.0
120_F.mp4,87.92,91.89,2636.0,2755.0
119_T.mp4,88.52,92.49,2654.0,2773.0
119_T.mp4,148.52,152.49,4452.0,4571.0
118_F.mp4,92.33,96.30,2768.0,2887.0
121_F.mp4,85.42,89.32,2561.0,2678.0
118_T.mp4,89.09,93.06,2671.0,2790.0
118_W.mp4,89.56,93.53,2685.0,2804.0
132_T.mp4,89.72,93.69,2690.0,2809.0
134_S.mp4,91.46,95.20,2742.0,2854.0
129_T.mp4,88.89,92.86,2665.0,2784.0
134_F.mp4,88.59,92.56,2656.0,2775.0
130_T.mp4,85.02,88.96,2549.0,2667.0
134_T.mp4,89.92,93.89,2696.0,2815.0
130_F.mp4,83.98,87.95,2518.0,2637.0
132_S.mp4,91.62,95.23,2747.0,2855.0
132_S.mp4,151.42,155.29,4539.0,4655.0
132_F.mp4,87.85,91.83,2634.0,2753.0
129_S.mp4,91.36,95.16,2739.0,2853.0
128_T.mp4,90.66,94.63,2718.0,2837.0
128_T.mp4,150.65,154.62,4516.0,4635.0
135_F.mp4,89.09,93.06,2671.0,2790.0
