day,uroa_control,start_y_from_led,trajectory_angle,y_mag,y_up
1,1,-226.11932,48.97734864209368,20.03614399999998,66.38655462184875
1,1,-230.87733,98.52946614849743,137.92955200000006,91.66666666666667
1,1,-213.24283,56.991431538980436,119.8227,79.83193277310924
1,1,-178.57547,105.71143534965458,8.25719799999996,6.0344827586206895
1,1,-306.15125,110.80426874164246,203.85066199999994,97.5
1,1,-224.4883,125.20880894296202,57.57395200000002,56.666666666666664
1,1,-318.9657,56.71397577930074,72.68881199999987,99.15966386554622
1,1,-266.85757,360.0,0.0,0.0
1,1,-145.64134,95.67702694748188,32.99010133333326,30.833333333333332
1,1,-289.2449,158.06171982034837,2.6491700000000264,78.33333333333333
1,1,-206.92215,54.423365335114696,45.34172200000006,37.81512605042017
1,1,-369.9417,85.91282247760286,17.02687400000002,95.0
1,1,-388.34204,152.32376414939378,9.596071999999992,26.666666666666668
1,1,-150.27824,119.96835970675313,40.30297999999999,99.16666666666667
1,1,-186.82669,107.73697561129305,27.707108000000062,99.15966386554622
1,1,-161.63441,92.28101206511522,17.05915600000003,45.833333333333336
1,1,-299.87677,101.1564477573872,28.16869600000001,90.0
1,1,-190.80072,89.86884464029191,127.51754,80.83333333333333
1,1,-386.7077,116.30802050612242,36.292478000000074,95.86776859504133
1,1,-308.06238,142.65681789788195,0.9685249999999996,0.8333333333333334
1,1,-171.1786,76.2741392709563,64.26961149999994,24.166666666666668
1,1,-423.98804,157.47440988336075,20.051231999999914,69.66292134831461
1,1,-94.041626,53.12106660552591,32.40208000000001,13.333333333333334
1,1,-118.43634,25.67125280459265,44.2516783333333,29.166666666666668
1,1,-96.93248,360.0,0.0,0.0
4,1,-114.729965,142.61132306959922,16.20611999999997,38.93805309734513
4,1,-234.74678,96.49806597239484,3.4047133333333477,44.166666666666664
4,1,-324.46786,90.5010546553342,71.84674000000012,99.14529914529915
4,1,-66.80928,118.17978196160422,5.294460000000015,47.863247863247864
4,1,-278.34674,115.31272220365037,1.0728259999999636,70.83333333333333
4,1,-224.60687,67.89960026544867,39.01075499999999,25.423728813559322
4,1,-268.3338,79.95252978354809,68.95076799999993,99.15254237288136
4,1,-235.28937,57.63203112876877,85.75853000000001,98.33333333333333
4,1,-293.24625,55.295016653717184,48.806647999999996,99.16666666666667
4,1,-156.1581,37.309697888216185,76.2650975,19.166666666666668
4,1,-79.74425,360.0,0.0,0.0
4,1,-209.45903,89.74174646459635,13.405496000000028,91.66666666666667
4,1,-203.00304,360.0,0.0,0.0
4,1,-102.19859,17.250938349965907,16.155894000000046,72.5
4,1,-295.07666,98.25812514147583,58.723254499999996,99.14529914529915
4,1,-278.24506,112.29976412972736,83.48804899999999,95.0
4,1,-109.865036,9.095849487549742,4.919997999999964,0.8403361344537815
4,1,-362.2893,95.63214855182044,82.59848842000002,26.666666666666668
4,1,-311.94604,148.5080940613304,32.82021000000003,97.5
4,1,-131.75638,360.0,0.0,0.0
4,1,-269.0229,51.87631701011199,0.055093999999940024,1.6666666666666667
4,1,-122.32886,77.50508888180525,42.890262000000064,99.15254237288136
4,1,-278.58865,115.6268098208068,3.892967999999996,99.16666666666667
3,1,-346.4912,33.48181384405362,58.19723899999991,98.33333333333333
3,1,-329.41223,100.79044214203279,190.04743000000002,93.33333333333333
3,1,-297.70105,84.09536534850514,97.52414133333332,93.27731092436974
3,1,-228.80939,72.65248287481715,68.287216,58.333333333333336
3,1,-69.335175,107.89815356363788,9.149727999999925,29.166666666666668
3,1,-247.64975,26.83184217142411,4.702944000000002,50.833333333333336
3,1,-234.41586,17.277097737642826,15.934694666666644,5.833333333333333
3,1,-320.4184,46.73167149052273,5.979269999999985,82.5
3,1,-167.8356,0.7634958040121057,0.2791300000000092,0.8403361344537815
3,1,-321.55948,360.0,0.0,0.0
3,1,-375.9427,134.56081912746757,36.312347000000045,71.90082644628099
3,1,-325.19708,63.09454945232583,388.43300000000005,73.33333333333333
3,1,-131.12558,360.0,0.0,0.0
3,1,-128.13686,171.56487184077187,5.445547999999974,95.0
3,1,-233.07257,92.9871476352514,142.50684666666655,24.369747899159663
3,1,-273.80563,74.4215063505838,65.12622399999998,36.206896551724135
3,1,-274.2693,66.44686570196062,64.52938999999998,97.5
3,1,-186.7597,45.739431603884015,180.24196749999996,47.5
3,1,-339.30273,68.26771071410164,152.13758000000007,94.16666666666667
3,1,-271.56946,96.85876794186359,178.37036800000004,99.15254237288136
3,1,-249.25607,92.17477297076461,172.11896400000006,73.55371900826447
2,1,-298.0006,79.82665094940486,155.11890199999993,96.66666666666667
2,1,-232.14552,67.81003682166357,63.536518000000115,91.59663865546219
2,1,-177.77783,84.86385057099702,86.49557999999996,98.98989898989899
2,1,-131.48083,360.0,0.0,0.0
2,1,-194.67682,153.25133816784765,20.913675999999953,5.833333333333333
2,1,-295.23996,35.21729710662178,0.23614400000002433,5.0
2,1,-379.18253,50.59318456749385,14.92627200000004,99.16666666666667
